brand,category,link,price,product_name,description,seller,photo,product_id
Apple,Смартфоны,https://www.ozon.ru/product/smartfon-apple-iphone-12-128gb-chernyy-299368232/,67880,"Смартфон Apple iPhone 12 128GB, черный","Диагональ экрана, дюймы : 6.1
Тип : Смартфон
Оперативная память : 4 ГБ
Встроенная память : 128 ГБ
Разрешение основной камеры, Мпикс : 12
Процессор : A14 Bionic (6 ядер), 2.66 ГГц
Беспроводные интерфейсы : GPS, Wi-Fi, NFC, Bluetooth
Стандарты связи : 5G, 2G, 3G, LTE
Разрешение экрана : 2532x1170
Емкость аккумулятора, мАч : 2815
",180789,https://cdn1.ozone.ru/s3/multimedia-t/6046799525.jpg,1
Tecno,Смартфоны,https://www.ozon.ru/product/smartfon-tecno-pova-2-4-64gb-siniy-487816751/,15990,"Смартфон Tecno Pova 2 4/64GB, синий","Тип : Смартфон
Диагональ экрана, дюймы : 6.9
Емкость аккумулятора, мАч : 7000
Процессор : Helio G85 (8 ядер), 2.0 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, GPS, Wi-Fi, NFC
Разрешение экрана : 2460x1080
Число ядер процессора : 8
Оперативная память : 4 ГБ
Встроенная память : 64 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-b/6249021299.jpg,2
Xiaomi,Смартфоны,https://www.ozon.ru/product/smartfon-xiaomi-redmi-9c-2-32gb-siniy-186799926/,13591,"Смартфон Xiaomi Redmi 9C 2/32GB, синий","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Helio G35 (8 ядер), 2.3 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, Wi-Fi
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 2 ГБ
Встроенная память : 32 ГБ
",11777,https://cdn1.ozone.ru/s3/multimedia-s/6020742256.jpg,3
Tecno,Смартфоны,https://www.ozon.ru/product/smartfon-tecno-spark-go-2022-2-32gb-siniy-487541719/,8044,"Смартфон Tecno Spark Go 2022 2/32GB, синий","Тип : Смартфон
Диагональ экрана, дюймы : 6.5
Емкость аккумулятора, мАч : 5000
Процессор : Helio A22 (4 ядра), 2.0 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : NFC
Разрешение экрана : 1600x720
Число ядер процессора : 4
Оперативная память : 2 ГБ
Встроенная память : 32 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-t/6248882753.jpg,4
Apple,Смартфоны,https://www.ozon.ru/product/smartfon-apple-iphone-11-64gb-zelenyy-299360334/,49880,"Смартфон Apple iPhone 11 64GB, Зелёный","Диагональ экрана, дюймы : 6.1
Тип : Смартфон
Оперативная память : 4 ГБ
Встроенная память : 64 ГБ
Разрешение основной камеры, Мпикс : 12
Процессор : A13 Bionic (6 ядер), 2.65 ГГц
Беспроводные интерфейсы : Wi-Fi, Bluetooth, NFC, GPS
Стандарты связи : 2G, 3G, LTE
Разрешение экрана : 1792x828
Емкость аккумулятора, мАч : 3110
",180789,https://cdn1.ozone.ru/s3/multimedia-i/6060993702.jpg,5
realme,Смартфоны,https://www.ozon.ru/product/smartfon-realme-c11-2021-2-32gb-seryy-257017724/,8999,"Смартфон realme C11 (2021) 2/32GB, серый","Тип : Смартфон
Диагональ экрана, дюймы : 6.5
Емкость аккумулятора, мАч : 5000
Процессор : SC9863A (8 ядер), 1.6 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, Wi-Fi, NFC
Разрешение экрана : 1600x720
Число ядер процессора : 8
Оперативная память : 2 ГБ
Встроенная память : 32 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-m/6058807426.jpg,6
realme,Смартфоны,https://www.ozon.ru/product/smartfon-realme-gt-master-edition-6-128gb-seryy-313143701/,31672,"Смартфон realme GT Master Edition 6/128GB, серый","Тип : Смартфон
Диагональ экрана, дюймы : 6.43
Емкость аккумулятора, мАч : 4300
Процессор : Snapdragon 778G (8 ядер), 2.4 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, GPS, NFC, Wi-Fi
Разрешение экрана : 2400x1080
Число ядер процессора : 8
Оперативная память : 6 ГБ
Встроенная память : 128 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-u/6094715022.jpg,7
realme,Смартфоны,https://www.ozon.ru/product/smartfon-realme-8-6-128gb-serebristyy-257017704/,18990,"Смартфон realme 8 6/128GB, серебристый","Тип : Смартфон
Диагональ экрана, дюймы : 6.4
Емкость аккумулятора, мАч : 5000
Процессор : Helio G95 (8 ядер), 2.05 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, GPS, NFC, Wi-Fi
Разрешение экрана : 2400x1080
Число ядер процессора : 8
Оперативная память : 6 ГБ
Встроенная память : 128 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-7/6058807447.jpg,8
Poco,Смартфоны,https://www.ozon.ru/product/smartfon-poco-m3-pro-6-128gb-siniy-273287854/,20490,"Смартфон Poco M3 Pro 6/128GB, синий","Тип : Смартфон
Диагональ экрана, дюймы : 6.53
Емкость аккумулятора, мАч : 5000
Процессор : Dimensity 700 (8 ядер), 2.2 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth, Wi-Fi, NFC, ИК-порт, GPS
Разрешение экрана : 2400x1080
Число ядер процессора : 8
Оперативная память : 6 ГБ
Встроенная память : 128 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-7/6067747435.jpg,9
Apple,Смартфоны,https://www.ozon.ru/product/smartfon-apple-iphone-12-128gb-zelenyy-299378241/,68880,"Смартфон Apple iPhone 12 128GB, зеленый","Тип : Смартфон
Диагональ экрана, дюймы : 6.1
Оперативная память : 4 ГБ
Встроенная память : 128 ГБ
Разрешение основной камеры, Мпикс : 12
Процессор : A14 Bionic (6 ядер), 2.66 ГГц
Беспроводные интерфейсы : GPS, Wi-Fi, NFC, Bluetooth
Стандарты связи : 5G, 2G, 3G, LTE
Разрешение экрана : 2532x1170
Емкость аккумулятора, мАч : 2815
",180789,https://cdn1.ozone.ru/s3/multimedia-q/6046799558.jpg,10
Tecno,Смартфоны,https://www.ozon.ru/product/smartfon-tecno-pop-5-lte-2-32gb-goluboy-466183024/,10980,"Смартфон Tecno POP 5 LTE 2/32GB, голубой","Тип : Смартфон
Диагональ экрана, дюймы : 6.52
Емкость аккумулятора, мАч : 5000
Процессор : SC9863 (8 ядер), 1.6 ГГц
Основной материал корпуса : Пластик
Беспроводные интерфейсы : Bluetooth
Разрешение экрана : 1560x720
Число ядер процессора : 8
Оперативная память : 2 ГБ
Встроенная память : 32 ГБ
",667,https://cdn1.ozone.ru/s3/multimedia-b/6228703007.jpg,11
