user_id,item_id,confidence
1,dropkick murphys,1
1,eluveitie,1
1,goldfrapp,1
1,guano apes,1
1,jack johnson,1
1,judas priest,1
1,red hot chili peppers,1
1,rob zombie,1
1,schandmaul,1
1,the killers,1
1,the rolling stones,1
33,adam green,1
33,belle and sebastian,1
33,clueso,1
33,coldplay,1
33,death cab for cutie,1
33,deichkind,1
33,die toten hosen,1
33,evanescence,1
33,farin urlaub,1
33,foo fighters,1
33,incubus,1
33,jack johnson,1
33,keane,1
33,linkin park,1
33,mando diao,1
33,nouvelle vague,1
33,paramore,1
33,razorlight,1
33,seeed,1
33,tegan and sara,1
33,the fray,1
33,the kooks,1
33,the strokes,1
33,three days grace,1
42,as i lay dying,1
42,avril lavigne,1
42,evanescence,1
42,groove coverage,1
42,him,1
42,in extremo,1
42,nightwish,1
51,arctic monkeys,1
51,beatsteaks,1
51,billy talent,1
51,clueso,1
51,duffy,1
51,incubus,1
51,kate nash,1
51,kings of leon,1
51,lily allen,1
51,mando diao,1
51,mgmt,1
51,nada surf,1
51,razorlight,1
51,tegan and sara,1
51,the fratellis,1
51,the ting tings,1
51,the wombats,1
62,beatsteaks,1
62,billy talent,1
62,blink-182,1
62,clueso,1
62,deichkind,1
62,justin timberlake,1
62,kanye west,1
62,kings of leon,1
62,razorlight,1
62,red hot chili peppers,1
62,stone sour,1
62,the kooks,1
62,the subways,1
75,alexisonfire,1
75,atb,1
75,billy talent,1
75,breaking benjamin,1
75,caliban,1
75,clueso,1
75,daft punk,1
75,flyleaf,1
75,linkin park,1
75,paramore,1
75,rise against,1
75,scooter,1
130,tori amos,1
141,all that remains,1
141,as i lay dying,1
141,audioslave,1
141,bob marley,1
141,bullet for my valentine,1
141,children of bodom,1
141,chimaira,1
141,cypress hill,1
141,disturbed,1
141,heaven shall burn,1
141,in flames,1
141,parkway drive,1
141,slipknot,1
141,soilwork,1
141,stone sour,1
141,tenacious d,1
141,trivium,1
144,beirut,1
144,cocorosie,1
144,interpol,1
144,kings of leon,1
144,the beatles,1
150,arctic monkeys,1
150,deichkind,1
150,rammstein,1
150,the rolling stones,1
205,blind guardian,1
205,bloc party,1
205,duffy,1
205,eluveitie,1
205,incubus,1
205,kelly clarkson,1
205,korpiklaani,1
205,maria mena,1
205,metallica,1
205,pink,1
205,rammstein,1
205,red hot chili peppers,1
205,rihanna,1
205,schandmaul,1
205,subway to sally,1
205,timbaland,1
247,duffy,1
247,foo fighters,1
247,jay-z,1
256,amy winehouse,1
256,atb,1
256,black eyed peas,1
256,bloodhound gang,1
256,blur,1
256,christina aguilera,1
256,david guetta,1
256,justin timberlake,1
256,katy perry,1
256,linkin park,1
256,madonna,1
256,massive attack,1
256,oasis,1
256,rihanna,1
299,all that remains,1
299,amon amarth,1
299,bring me the horizon,1
299,caliban,1
299,chimaira,1
299,dark tranquillity,1
299,die apokalyptischen reiter,1
299,dimmu borgir,1
299,enter shikari,1
299,heaven shall burn,1
299,killswitch engage,1
299,limp bizkit,1
299,linkin park,1
299,lostprophets,1
299,machine head,1
299,parkway drive,1
299,slipknot,1
299,soilwork,1
299,sonic syndicate,1
299,tenacious d,1
299,the prodigy,1
299,trivium,1
313,beastie boys,1
313,beck,1
313,bright eyes,1
313,deichkind,1
313,placebo,1
313,the chemical brothers,1
313,the doors,1
313,the hives,1
313,the notwist,1
319,bob marley,1
319,clueso,1
319,daft punk,1
319,david guetta,1
319,deichkind,1
319,eminem,1
319,foo fighters,1
319,green day,1
319,justice,1
319,kaiser chiefs,1
319,kanye west,1
319,mando diao,1
319,millencolin,1
319,stone sour,1
319,system of a down,1
319,the fratellis,1
319,the hives,1
319,the killers,1
319,the prodigy,1
319,the subways,1
319,the ting tings,1
319,the wombats,1
336,afi,1
336,anti-flag,1
336,bad religion,1
336,billy talent,1
336,blink-182,1
336,bloodhound gang,1
336,disturbed,1
336,dropkick murphys,1
336,flogging molly,1
336,good charlotte,1
336,iron maiden,1
336,millencolin,1
336,nofx,1
336,papa roach,1
336,paramore,1
336,rage against the machine,1
336,ramones,1
336,rise against,1
336,simple plan,1
336,sum 41,1
336,system of a down,1
336,the offspring,1
367,chimaira,1
367,disturbed,1
367,good charlotte,1
367,killswitch engage,1
367,lostprophets,1
367,panic at the disco,1
367,rob zombie,1
367,simple plan,1
367,stone sour,1
367,sum 41,1
367,underoath,1
371,bob marley & the wailers,1
371,johnny cash,1
371,motorhead,1
383,atb,1
383,bloodhound gang,1
383,cascada,1
383,clueso,1
383,david guetta,1
383,die toten hosen,1
383,eminem,1
383,fall out boy,1
383,justin timberlake,1
383,kanye west,1
383,katy perry,1
383,keane,1
383,nelly furtado,1
383,rihanna,1
383,scooter,1
383,timbaland,1
422,arctic monkeys,1
422,audioslave,1
422,blink-182,1
422,bloc party,1
422,death cab for cutie,1
422,dredg,1
422,fall out boy,1
422,franz ferdinand,1
422,jimmy eat world,1
422,johnny cash,1
422,kaiser chiefs,1
422,kings of leon,1
422,mando diao,1
422,nickelback,1
422,panic at the disco,1
