description,price,product_id,product_name,seller
"Изделие выполнено из серебра 925 пробы; вставка: фианит недраг; Характеристики: 14 Фианит недраг Круг 1,25, 1 Фианит недраг Круг 5,00;.",722,10199477,Кольцо из серебра с Фианитами,SOKOLOV
"Изделие выполнено из красного золота 585 пробы; Вставка: 1 Бр Круг 57 0,018 А",14789,7058175,Кольцо,SOKOLOV
"Оригинальное кольцо с золотым Ангелочком и изображением Рыбки, выполненном на кварце в технике инталия (от итал. intaglio - резьба, резьба по камню). Материал кольца: серебро 925 пробы с золотым ангелом 585 пробы. Камень достаточно крупный и олицетворяет голубое озеро, в котором плавает рыбка. По задумке наших ювелиров-дизайнеров за рыбкой наблюдает ангел. Эргономика кольца детально проработана, его комфортно носить. Качество исполнения украшения отвечает критериям самых требовательных заказчиков. Ширина кольца 23 мм. Размеры кольца представлены на фотографиях. Значение веса в характеристиках является примерным и может отличаться от фактического. Точный вес изделия указан на фирменной бирке. Кольцо поставляется в коробочке.",14641,10975038,"Кольцо ""Ангел с рыбкой""",IVENA
"**Кольцо из золота с фианитами.** Изделие выполнено из красного золота 585 пробы; вставка: фианит; Характеристики: 4 Фианит Круг 88 граней 2,00;.",5547,7528668,Кольцо,SOKOLOV
"Женские серебряные кольца от ювелирного бренда с 20 летним стажем Lamponi- стильные украшения, которые украсят ваш повседневный и праздничный образ. Наши ювелирные изделия НЕ являются бижутерией, изготовлены из серебра 925 пробы, покрытие золото 585 пробы или родий (для защиты и придания белого цвета). Собственное производство расположено в ювелирной столице России Костромской области п. Красное-на-Волге, где, также, располагается ювелирный завод соколов (Sokolov). Для гармоничного образа мы стараемся изготавливать парные украшения, поэтому в нашем ассортименте вы найдете серьги и подвеску в комплект. Украшения приходят с подарочной упаковкой (подарочная коробка или мешочек) и открыткой- идеально для подарка любимой женщине, девушке, девочке на: День рождения, Новый год, 8 марта, День всех влюбленных или любой праздник и повод. Значение веса и цвет вставок может незначительно отличаться от указанного в карточке товара. Комплектные украшения змейки: серьги Арт. 19238847, брошь 19238848.",990,19238846,Ювелирные украшения женское серебряное кольцо и серьги серебро золото 585 подарок обручальное,Lamponi
"Изделие выполнено из серебра 925 пробы; вставка: фианит, эмаль.Значение веса на фото и в характеристиках являются примерными и могут отличаться от фактического.",3068,2169000,Кольцо,SOKOLOV
Изделие выполнено из красного золота 585 пробы; Вставка: нет. Ширина шинки: 6 мм.,22045,4000411,Кольцо,SOKOLOV
Изделие выполнено из серебра 925 пробы.Значение веса на фото и в характеристиках являются примерными и могут отличаться от фактического.,630,2961947,Кольцо,SOKOLOV
"Размеры соответствуют заявленным! (заказывать размер - в размер!!!) Обязательно примерять в пункте выдачи товаров! : )Кольцо серебро 925 пробы с каучуковой вставкой. Покрытие - родий. Ширина шинки 6 мм, толщина - 2 мм. Цвет каучука - черный, красный, бардовый, белый, синий, розовый, голубой, зеленый.",945,15052300,Кольцо с каучуком,Золотой Енот
"**Печатка из серебра с эмалью с фианитами.** Изделие выполнено из серебра 925 пробы; вставка: фианит, эмаль.Значение веса на фото и в характеристиках являются примерными и могут отличаться от фактического.",1866,2945090,Кольцо,SOKOLOV
"Изделие выполнено из серебра 925 пробы; вставка: корунд, фианит; Характеристики: 1 Корунд синт.недраг Груша 6,00*4,00, 1 Корунд синт.недраг Круг 2,00, 2 Корунд синт.недраг Круг 2,75, 1 Корунд синт.недраг Круг 3,50, 10 Фианит недраг",1205,5323689,Кольцо,SOKOLOV
"Изделие выполнено из серебра 925 пробы; покрытие оксидирование (чернение). Ширина кольца-3 мм. Вес может не значительно отличаться от заявленного. Православное кольцо "" Святая Матрона"" освящено . Молитва ""Моли Бога о мне Блаженная Матрона Московская"". Ширина кольца-2,5 мм. Освящено.",543,9888273,"Православное кольцо серебряное ""Святая Матрона""",Серебряный Дом
"Хар-ки: 585 белое и желтое золото 4,40 г; 16 Бр. Кр-57-0,556-4/5А. Кольцо из белого и желтого золота - прекрасный подарок для девушки или стильное украшение себе любимой. Перед вами изысканное сочетание белого и желтого золота 585 пробы и природных бриллиантов в одном изделии. Ваша избранница оценит благородный уникальный дизайн изделия, сияние прославленных природных якутских бриллиантов. Кольцо из белого золота - оригинальное драгоценное украшение, которое лучше слов выразит искренность и постоянство чувств. Золотое кольцо с бриллиантами - замечательный подарок на особую дату или просто так, чтобы восхитить и удивить дорогого, близкого человека и оставить о себе неизгладимое впечатление. Каждое украшение поставляется в фирменной подарочной упаковке. Обручальное кольцо из белого золота с бриллиантами - одно из самых ярких и эффектных изделий в коллекции Санкт-Петербургского Ювелирного завода.",85000,29784660,Обручальное кольцо из белого и желтого золота с бриллиантами/Золотое с,Petersburg Diamonds
"Изделие выполнено из серебра 925 пробы.Вставка: 1 Фианит недраг Бесцветный 3.50 мм 0,295 карат.",1034,5780980,Кольцо,SOKOLOV
"Женское обручальное кольцо из белого золота 585 пробы с бриллиантовой дорожкой. Ширина - 3.5 мм. Покрытие родий. Характеристика камней: 11 Бр Кр 57 0,248Ct 4/5А. Кольцо литое, не пустотелое. Пара к кольцу: арт. 6959446. Значения параметров в характеристиках являются ориентировочными. Для уточнения Вы можете задать вопрос в разделе 'Вопросы' карточки товара.",38500,7284210,Обручальное кольцо,Юверос
"Лицевая сторона кольца покрыта резной вязью слов начала 90-го псалма: Живый в помощи Вышнего... Существует традиция всегда иметь при себе текст этой молитвы и особенно в путешествиях. 90-й псалом напоминает нам о том, что если уповать на Бога, то для человека не страшна ни одна опасность и нет ничего невозможного.Молитва вырезана на церковно-славянском языке художественно и с большим мастерством.Данные кольца выпускаются в двух размерах: небольшой 17-18 и покрупнее 19-20. Размер здесь не фиксированный, конструкция кольца позволяет подрегулировать его под себя. Диск с текстом молитвы прокручивается. Ширина: 38 мм.Материалы: Серебро 925 пробы, позолота 999 пробыТехника изготовления: литье, чернение, золочение, ручная работаПримечания: Изделие соответствует православным канонам и освященоНадписи на лицевой стороне: Начало 90-го псалма: Живый в помощи Вышняго, в крове Бога Небеснаго водворится. Речет Господеви: Заступник мой еси и Прибежище мое, Бог мой, и уповаю на Него.",20130,10534153,Кольцо,София
